FullTitle,CurrentCoords_x,CurrentCoords_y,ArmySize,HomeCoords_x,HomeCoords_y,State,Energy,Despondency,Recklessness,Liege,Foe,KilledBattle128,LostBattle128,ArmySize128,FortressOwner128,CharFlags1_LookDirection,CharFlags1_TimeOfDay,CharFlags2_orders,CharFlags3_InBattle,CharFlags3_InTunnel,CharFlags3_KilledFoe,CharFlags3_Loyalty,CharFlags3_UsedObject,CharFlags3_WonBattle
Luxor the Moonprince,5,92,1000,38,92,Alive,255,250,200,-,Shareth the Heartstealer,0,0,1275,117,W,Dawn,0,False,False,False,Moonprince,False,False
Morkin the Free,30,2,0,49,48,Alive,255,250,200,Shareth the Heartstealer,-,0,0,1275,75,SW,Dawn,2,False,False,False,Heartstealer,False,False
Tarithel the Fey,25,76,0,59,78,Alive,255,122,220,Luxor the Moonprince,Shareth the Heartstealer,0,0,1275,109,NE,Dawn,12,False,False,False,Moonprince,False,False
Rorthron the Wise,5,92,0,9,32,Alive,255,250,210,Luxor the Moonprince,Shareth the Heartstealer,0,0,1275,54,N,Dawn,4,False,False,False,Moonprince,False,False
Shareth the Heartstealer,25,48,895,29,1,Alive,255,250,225,-,Luxor the Moonprince,220,105,1275,4,SW,Dawn,14,False,False,False,Heartstealer,False,False
Imgarorn the Giant,17,18,1100,0,0,Alive,223,220,150,Varangrim the Giant,Thigrim the Icelord,0,0,1275,5,S,Night,13,False,False,False,Giants,False,False
Imgormad the Giant,16,16,1080,11,2,Alive,235,232,120,Thormuk the Giant,Imildrorn the Icelord,0,0,1275,6,SW,Night,13,False,False,False,Giants,False,False
Malisane the Icelord,45,37,1000,48,2,Alive,234,250,180,Imgaril the Icelord,Carormand the Barbarian,0,0,1275,7,SW,Night,10,False,False,False,Heartstealer,False,False
Anvireon the Icelord,28,3,1200,28,3,Alive,255,250,160,Shareth the Heartstealer,Lorangrorn the Barbarian,0,0,1250,8,SW,Dawn,11,False,False,False,Heartstealer,False,False
Talormane the Icelord,29,20,1100,33,3,Alive,243,250,170,Lorelorn the Icelord,Asorthane the Giant,0,0,1275,9,SW,Night,10,False,False,False,Heartstealer,False,False
Imildrorn the Icelord,30,24,1180,40,3,Alive,243,250,180,Lorelorn the Icelord,Glormeon the Giant,0,0,1275,10,SW,Night,10,False,False,False,Heartstealer,False,False
Carorthad the Icelord,46,34,1080,61,3,Alive,135,250,120,Malirarg the Icelord,Thatruk the Dwarf,0,0,1275,11,SW,Night,10,False,False,False,Heartstealer,False,False
Ushudrarg the Icelord,45,41,1050,51,4,Alive,213,250,150,Imgaril the Icelord,Obigrorn the Giant,0,0,1275,12,SW,Night,10,False,False,False,Heartstealer,False,False
Glormeon the Giant,17,18,1050,6,5,Alive,215,220,170,Imgarorn the Giant,Sortharg the Icelord,0,0,1275,13,S,Night,13,False,False,False,Giants,False,False
Thormuk the Giant,17,24,1050,21,5,Alive,157,202,140,Varangrim the Giant,Imasharg the Icelord,0,0,1275,14,S,Night,13,False,False,False,Giants,False,False
Imgaril the Icelord,39,47,1130,56,8,Alive,218,250,200,Shareth the Heartstealer,Imgorthand the Fey,0,0,1275,15,SW,Night,10,False,False,False,Heartstealer,False,False
Obularg the Giant,17,21,1000,12,9,Alive,170,154,160,Thormuk the Giant,Torelorn the Dwarf,0,0,1275,16,S,Night,13,False,False,False,Giants,False,False
Thigrim the Icelord,30,22,1030,28,9,Alive,240,250,130,Lorelorn the Icelord,Berorthim the Giant,0,0,1275,17,SW,Night,11,False,False,False,Heartstealer,False,False
Lorelorn the Icelord,25,32,1255,35,9,Alive,231,250,190,Shareth the Heartstealer,Carangrane the Giant,0,0,1275,18,S,Night,10,False,False,False,Heartstealer,False,False
Kahangrorn the Icelord,30,26,1100,47,9,Alive,237,250,170,Zarashand the Icelord,Torormarg the Dwarf,0,0,1275,19,SW,Night,10,False,False,False,Heartstealer,False,False
Malirarg the Icelord,43,42,1000,62,10,Alive,230,250,100,Imgaril the Icelord,Imgormiel the Fey,0,0,1275,20,SW,Night,10,False,False,False,Heartstealer,False,False
Imatrorn the Giant,17,26,1000,18,12,Alive,243,238,180,Varangrim the Giant,Sortharg the Icelord,0,0,1275,21,N,Night,13,False,False,False,Giants,False,False
Asorthane the Giant,17,18,1130,4,13,Alive,203,178,150,Imgarorn the Giant,Kahudrun the Icelord,0,0,1275,22,S,Night,13,False,False,False,Giants,False,False
Imasharg the Icelord,28,31,1030,37,13,Alive,225,250,180,Zarashand the Icelord,Sildrorn the Giant,0,0,1275,23,SW,Night,10,False,False,False,Heartstealer,False,False
Torangrorn the Icelord,44,39,1000,60,13,Alive,227,250,140,Malirarg the Icelord,Hagildrorn the Dwarf,0,0,1275,24,SW,Night,10,False,False,False,Heartstealer,False,False
Sortharg the Icelord,29,25,980,26,14,Alive,243,250,120,Malorthand the Icelord,Imgormad the Giant,0,0,1275,25,S,23,10,False,False,False,Heartstealer,False,False
Zarashand the Icelord,25,35,1180,44,14,Alive,234,250,200,Shareth the Heartstealer,Anvildrak the Giant,0,0,1275,26,S,Night,10,False,False,False,Heartstealer,False,False
Glororn the Icelord,34,39,1000,53,14,Alive,175,250,150,Talorthane the Icelord,Morildrane the Fey,0,0,1275,27,SW,Night,10,False,False,False,Heartstealer,False,False
Malorthand the Icelord,26,28,975,33,15,Alive,235,250,110,Lorelorn the Icelord,Rorthron the Wise,0,0,1275,28,SW,Night,11,False,False,False,Heartstealer,False,False
Varangrim the Giant,20,29,1080,17,17,Alive,243,244,200,Carangrane the Giant,Lorelorn the Icelord,0,0,1275,29,SE,Night,13,False,False,False,Giants,False,False
Sigrorn the Icelord,26,28,990,28,17,Alive,246,250,150,Malorthand the Icelord,Ulformane the Giant,0,0,1275,30,SW,25,10,False,False,False,Heartstealer,False,False
Hagudrak the Icelord,38,35,1000,37,18,Alive,230,250,170,Berudrarg the Icelord,Thorthand the Fey,0,0,1275,31,SW,Night,10,False,False,False,Heartstealer,False,False
Berudrarg the Icelord,34,39,1000,44,19,Alive,180,250,180,Glireon the Icelord,Luxor the Moonprince,0,0,1275,32,SW,Night,10,False,False,False,Heartstealer,False,False
Imgudrorn the Icelord,34,39,1030,59,19,Alive,215,250,180,Talorthane the Icelord,Berormorn the Fey,0,0,1275,33,SW,Night,10,False,False,False,Heartstealer,False,False
Talorthane the Icelord,29,44,1000,53,20,Alive,235,250,200,Fangrorn the Icelord,Imgormand the Fey,0,0,1275,34,SW,Night,10,False,False,False,Heartstealer,False,False
Morangrim the Icelord,26,28,1000,30,21,Alive,243,250,160,Malorthand the Icelord,Ganigrorn the Giant,0,0,1275,35,SW,25,10,False,False,False,Heartstealer,False,False
Obortharg the Giant,17,26,1050,11,22,Alive,243,250,180,Obigrorn the Giant,Sigrorn the Icelord,0,0,1275,36,N,Night,13,False,False,False,Giants,False,False
Glortheon the Giant,20,29,1030,26,22,Alive,243,226,200,Varangrim the Giant,Malorthand the Icelord,0,0,200,28,SE,Night,13,False,False,False,Giants,False,False
Ulfangruk the Icelord,37,36,1000,37,22,Alive,227,250,190,Berudrarg the Icelord,Carorthorn the Fey,0,0,1275,38,SW,Night,11,False,False,False,Heartstealer,False,False
Malarorn the Icelord,34,39,1000,42,22,Alive,233,250,170,Berudrarg the Icelord,Berormane the Fey,0,0,1275,39,SW,Night,10,False,False,False,Heartstealer,False,False
Ganormarg the Icelord,29,44,1000,61,23,Alive,207,250,180,Talorthane the Icelord,Carorthand the Fey,0,0,1275,40,SW,Night,10,False,False,False,Heartstealer,False,False
Berorthim the Giant,17,26,1050,6,25,Alive,243,220,150,Obigrorn the Giant,Thangrarg the Icelord,0,0,1275,41,N,Night,13,False,False,False,Giants,False,False
Firim the Icelord,29,44,1000,55,25,Alive,215,250,160,Ganormarg the Icelord,Tororthane the Fey,0,0,1275,42,SW,Night,10,False,False,False,Heartstealer,False,False
Glireon the Icelord,29,44,1000,47,26,Alive,240,250,190,Fangrorn the Icelord,Lorangrim the Fey,0,0,1120,43,SW,Night,10,False,False,False,Heartstealer,False,False
Kahangriel the Icelord,39,34,1050,31,27,Alive,231,250,170,Imgasharg the Icelord,Thigrand the Fey,0,0,1275,44,SW,Night,10,False,False,False,Heartstealer,False,False
Kahudruk the Icelord,30,43,1100,59,27,Alive,180,250,150,Ganormarg the Icelord,Tharand the Fey,0,0,1275,45,SW,Night,10,False,False,False,Heartstealer,False,False
Lororthane the Icelord,36,37,1050,38,28,Alive,234,250,180,Thangrarg the Icelord,Obireon the Fey,0,0,1275,46,SW,Night,10,False,False,False,Heartstealer,False,False
Malirane the Icelord,30,44,1050,46,28,Alive,243,250,190,Glormarg the Icelord,Lorangrarg the Dwarf,0,0,1275,47,SW,26,10,False,False,False,Heartstealer,False,False
Kahudrun the Icelord,39,34,1230,28,29,Alive,223,250,200,Imgasharg the Icelord,Carorthane the Fey,0,0,1275,48,SW,Night,10,False,False,False,Heartstealer,False,False
Ulformane the Giant,21,35,1030,24,30,Alive,239,232,190,Imgenarg the Giant,Thortheon the Barbarian,0,0,1275,49,SE,Night,13,False,False,False,Giants,False,False
Hagildrorn the Dwarf,19,44,810,31,30,Alive,120,232,180,Imgorarg the Dwarf,Berorthim the Giant,225,75,1275,50,SW,Dawn,15,False,False,False,Dwarfs,False,False
Thildresh the Icelord,30,44,1100,42,30,Alive,203,250,150,Glormarg the Icelord,Ulfangrak the Dwarf,0,0,1275,51,SW,30,10,False,False,False,Heartstealer,False,False
Glormarg the Icelord,25,48,955,46,31,Alive,234,250,200,Shareth the Heartstealer,Glormane the Dwarf,200,45,1275,52,W,Night,10,False,False,False,Heartstealer,False,False
Carorand the Icelord,34,42,1000,56,31,Alive,227,250,140,Carangresh the Icelord,Glortharg the Barbarian,0,0,1275,53,SW,25,10,False,False,False,Heartstealer,False,False
Carangrane the Giant,25,41,1080,6,32,Alive,191,214,200,-,Glireon the Icelord,0,0,1275,54,SE,Night,13,False,False,False,Giants,False,False
Thangrorn the Giant,22,35,1130,2,33,Alive,243,220,160,Carangrane the Giant,Hagudril the Dwarf,0,0,1275,55,SE,Night,13,False,False,False,Giants,False,False
Malormun the Icelord,25,48,945,45,33,Alive,191,250,170,Glormarg the Icelord,Imelorn the Dwarf,125,55,1275,56,W,Night,10,False,False,False,Heartstealer,False,False
Varormane the Icelord,34,42,1000,60,33,Alive,246,250,180,Carangresh the Icelord,Kahudrarg the Barbarian,0,0,1275,57,SW,Night,10,False,False,False,Heartstealer,False,False
Imgenarg the Giant,24,38,1000,13,34,Alive,239,220,180,Carangrane the Giant,Glormane the Dwarf,0,0,1275,58,SE,Night,13,False,False,False,Giants,False,False
Thorarg the Giant,21,35,1030,21,34,Alive,240,232,150,Ulformane the Giant,Imgorarg the Dwarf,0,0,1275,59,SE,Night,13,False,False,False,Giants,False,False
Thirium the Icelord,31,45,1080,54,35,Alive,240,250,180,Glormarg the Icelord,Carorthay the Dwarf,0,0,1275,60,SW,Night,10,False,False,False,Heartstealer,False,False
Fenarg the Icelord,31,45,1030,49,37,Alive,210,250,130,Thirium the Icelord,Gludreon the Dwarf,0,0,1275,61,SW,Night,11,False,False,False,Heartstealer,False,False
Imgorarg the Dwarf,17,49,965,34,38,Alive,210,196,200,Torormarg the Dwarf,Luxor the Moonprince,300,35,1275,62,NE,Dawn,15,False,False,False,Dwarfs,False,False
Torelak the Giant,24,38,1000,17,39,Alive,239,220,180,Imgenarg the Giant,Thelak the Dwarf,0,0,1275,63,SE,Night,13,False,False,False,Giants,False,False
Torormarg the Dwarf,17,49,715,31,39,Alive,215,190,150,Imgorarg the Dwarf,Obortharg the Giant,0,0,1275,64,NE,Dawn,15,False,False,False,Dwarfs,False,False
Ushangrane the Icelord,31,45,1030,55,39,Alive,243,250,170,Thirium the Icelord,Imgorarg the Dwarf,0,0,1275,65,SW,30,10,False,False,False,Heartstealer,False,False
Fangrorn the Icelord,25,48,1180,51,40,Alive,237,250,200,Shareth the Heartstealer,Imorthorn the Fey,90,50,1275,66,SW,Night,10,False,False,False,Heartstealer,False,False
Carangresh the Icelord,31,45,1100,62,40,Alive,235,250,180,Thirium the Icelord,Imgorad the Barbarian,0,0,1275,67,SW,30,10,False,False,False,Heartstealer,False,False
Anvildrak the Giant,10,40,1000,7,41,Alive,231,226,190,Carangrane the Giant,Luxor the Moonprince,0,0,1275,68,SW,Night,13,False,False,False,Giants,False,False
Anvarorn the Icelord,25,48,880,48,41,Dead,211,250,0,Fangrorn the Icelord,Thelak the Dwarf,290,120,1275,69,SW,Night,10,False,False,False,Heartstealer,False,False
Hagudril the Dwarf,46,50,1030,44,43,Alive,110,160,160,Carorthay the Dwarf,Ganormarg the Icelord,0,0,1275,70,W,Night,15,False,False,False,Dwarfs,False,False
Ganigrorn the Giant,24,38,1000,19,44,Alive,205,250,160,Imgenarg the Giant,Anvorthun the Barbarian,0,0,1075,71,SE,Night,13,False,False,False,Giants,False,False
Berangrorn the Dwarf,21,47,1130,23,44,Alive,175,214,180,Glormane the Dwarf,Carangresh the Icelord,0,0,1275,72,SW,Night,15,False,False,False,Dwarfs,False,False
Fenorn the Giant,10,40,1000,8,45,Alive,215,238,190,Anvildrak the Giant,Carorthand the Fey,0,0,1275,73,SW,Night,13,False,False,False,Giants,False,False
Sildrorn the Giant,10,40,1000,1,46,Alive,231,226,180,Anvildrak the Giant,Imgorad the Barbarian,0,0,1275,74,SW,Night,13,False,False,False,Giants,False,False
Carorthay the Dwarf,45,49,1100,52,46,Alive,91,202,180,Lorangrarg the Dwarf,Glormarg the Icelord,0,0,1275,75,NW,15,15,False,False,False,Dwarfs,False,False
Glortharg the Barbarian,4,46,1150,2,49,Alive,211,250,150,Carormand the Barbarian,Torormarg the Dwarf,0,0,1275,76,N,Night,8,False,False,False,Barbarians,False,False
Thortheon the Barbarian,41,67,1000,17,49,Alive,150,190,160,Carormand the Barbarian,Thormuk the Giant,0,0,570,77,E,Night,8,False,False,False,Barbarians,False,False
Glormane the Dwarf,19,49,1080,30,49,Alive,115,172,200,-,Talorthane the Icelord,0,0,1275,78,SW,Night,15,False,False,False,Dwarfs,False,False
Gloruk the Dwarf,19,49,1100,21,50,Alive,150,202,150,Glormane the Dwarf,Thorthak the Barbarian,0,0,910,79,SW,Night,15,False,False,False,Dwarfs,False,False
Gludreon the Dwarf,45,49,1000,63,50,Alive,110,196,140,Carorthay the Dwarf,Carorthorn the Fey,0,0,1275,80,W,Night,15,False,False,False,Dwarfs,False,False
Thudrun the Dwarf,35,47,1100,47,52,Alive,147,226,180,Lorangrarg the Dwarf,Imgarorn the Giant,0,0,1275,81,W,Night,15,False,False,False,Dwarfs,False,False
Torelorn the Dwarf,21,49,1100,32,55,Alive,94,190,140,Glormane the Dwarf,Thangrorn the Giant,0,0,1275,82,SW,Night,15,False,False,False,Dwarfs,False,False
Thatruk the Dwarf,23,49,1100,35,55,Alive,190,220,160,Torelorn the Dwarf,Torinarg the Barbarian,0,0,1275,83,SW,Night,15,False,False,False,Dwarfs,False,False
Carormand the Barbarian,18,56,1080,8,56,Alive,163,226,200,-,Lorangrarg the Dwarf,0,0,1275,84,SW,Night,8,False,False,False,Barbarians,False,False
Lorangrarg the Dwarf,32,49,1100,47,56,Alive,180,232,170,Glormane the Dwarf,Carorthane the Fey,0,0,1270,85,W,Night,15,False,False,False,Dwarfs,False,False
Thelak the Dwarf,21,49,1100,23,58,Alive,160,214,150,Torelorn the Dwarf,Glormeon the Giant,0,0,1275,86,W,Night,15,False,False,False,Dwarfs,False,False
Imangruk the Dwarf,35,49,1080,49,60,Alive,137,226,150,Lorangrarg the Dwarf,Morildrane the Fey,0,0,1275,87,W,Night,15,False,False,False,Dwarfs,False,False
Gligril the Dwarf,43,52,1000,60,60,Alive,165,232,130,Ulfangrak the Dwarf,Kahudrarg the Barbarian,0,0,1275,88,NW,Night,15,False,False,False,Dwarfs,False,False
Thangrad the Barbarian,18,54,1000,11,61,Alive,211,250,170,Lorangrorn the Barbarian,Thudrun the Dwarf,0,0,1275,89,S,29,8,False,False,False,Barbarians,False,False
Imulorn the Dwarf,33,57,980,32,62,Alive,220,244,180,Thigrak the Dwarf,Varangrand the Barbarian,0,0,1275,90,NW,Night,15,False,False,False,Dwarfs,False,False
Thigrak the Dwarf,27,49,1080,44,62,Alive,160,184,190,Glormane the Dwarf,Anvildrak the Giant,0,0,1275,91,W,Night,15,False,False,False,Dwarfs,False,False
Lorangrorn the Barbarian,18,58,1000,6,64,Alive,180,250,180,Carormand the Barbarian,Imgorthand the Fey,0,0,1275,92,S,Night,8,False,False,False,Barbarians,False,False
Varatrarg the Barbarian,21,50,815,26,66,Alive,139,244,150,Lorangrorn the Barbarian,Ushangrane the Icelord,275,80,1275,93,NE,Dawn,8,False,False,False,Barbarians,False,False
Imelorn the Dwarf,27,49,1000,53,66,Alive,105,148,140,Thigrak the Dwarf,Anvortheon the Barbarian,0,0,1275,94,W,Night,15,False,False,False,Dwarfs,False,False
Ulfangrak the Dwarf,39,49,1180,61,66,Alive,105,232,130,Thigrak the Dwarf,Obigrorn the Giant,0,0,1275,95,W,Night,15,False,False,False,Dwarfs,False,False
Thorthak the Barbarian,8,60,1000,1,67,Alive,193,238,170,Imgorad the Barbarian,Glortheon the Giant,0,0,1275,96,SW,Dawn,9,False,False,False,Barbarians,False,False
Thormand the Fey,28,52,700,29,67,Alive,95,148,180,Imorthorn the Fey,Kahangrorn the Icelord,0,0,1275,97,NW,Night,6,False,False,False,Fey,False,False
Anvorthun the Barbarian,13,63,1000,7,70,Alive,203,238,140,Imgorad the Barbarian,Berangrorn the Dwarf,0,0,1275,98,SW,Night,8,False,False,False,Barbarians,False,False
Imgormand the Fey,62,88,1130,42,71,Alive,215,214,150,Morildrane the Fey,Imgorarg the Dwarf,0,0,1275,99,SE,29,6,False,False,False,Fey,False,False
Carorthorn the Fey,59,85,1080,59,71,Alive,191,196,180,Lorangriel the Fey,Varormane the Icelord,0,0,1275,100,W,28,6,False,False,False,Fey,False,False
Imgorad the Barbarian,2,75,1200,2,74,Alive,227,232,200,-,Carangrane the Giant,0,0,1275,101,N,Night,8,False,False,False,Barbarians,False,False
Tororthane the Fey,30,69,1230,35,74,Alive,180,238,150,Imorthorn the Fey,Malormun the Icelord,0,0,1220,102,NW,Night,7,False,False,False,Fey,False,False
Imorthorn the Fey,27,50,300,31,75,Alive,183,112,200,-,Shareth the Heartstealer,300,780,1275,103,N,26,7,False,False,False,Fey,False,False
Berormorn the Fey,27,58,1050,17,77,Alive,200,232,160,Carorthane the Fey,Kahangriel the Icelord,0,0,1275,104,N,Night,6,False,False,False,Fey,False,False
Firak the Barbarian,2,75,1100,7,79,Alive,231,232,140,Imgorad the Barbarian,Thigrak the Dwarf,0,0,1275,105,N,Night,8,False,False,False,Barbarians,False,False
Morildrane the Fey,59,85,1180,45,79,Alive,211,220,200,Lorangriel the Fey,Tarithel the Fey,0,0,1275,106,NW,Night,6,False,False,False,Fey,False,False
Thigrand the Fey,28,65,1050,28,80,Alive,189,220,150,Carorthane the Fey,Malirane the Icelord,0,0,1275,107,NW,Night,7,False,False,False,Fey,False,False
Kahudrarg the Barbarian,5,90,1000,11,81,Alive,203,250,180,Imgorad the Barbarian,Luxor the Moonprince,0,0,1275,108,S,Night,8,False,False,False,Barbarians,False,False
Lorangriel the Fey,55,81,1100,54,81,Alive,185,238,190,Imgorthand the Fey,Malisane the Icelord,0,0,1275,109,NW,Night,6,False,False,False,Fey,False,False
Carorthane the Fey,25,53,1080,20,82,Alive,203,208,170,Imorthorn the Fey,Glormarg the Icelord,0,0,1275,110,N,Night,6,False,False,False,Fey,False,False
Thorthand the Fey,56,82,1050,49,84,Alive,205,244,130,Lorangriel the Fey,Imgorarg the Dwarf,0,0,1275,111,NW,Night,7,False,False,False,Fey,False,False
Berormane the Fey,55,81,1050,42,87,Alive,200,220,160,Lorangrim the Fey,Zarashand the Icelord,0,0,1275,112,NW,Night,6,False,False,False,Fey,False,False
Imgormiel the Fey,56,82,1255,57,87,Alive,164,244,110,Imgorthand the Fey,Kahudrak the Barbarian,0,0,1170,113,NW,Night,7,False,False,False,Fey,False,False
